resourceType,id,title,url,version,status,group,file,reference
Bundle,ExampleCanonicalExchange,ExampleCanonicalExchange,,,,examples,Bundle-ExampleCanonicalExchange.json,Bundle/ExampleCanonicalExchange
Condition,ExampleCondition,ExampleCondition,,,,examples,Condition-ExampleCondition.json,Condition/ExampleCondition
Device,ExampleSourceEHR,ExampleSourceEHR,,,active,examples,Device-ExampleSourceEHR.json,Device/ExampleSourceEHR
DocumentReference,ExampleSourceDocument,ExampleSourceDocument,,,current,examples,DocumentReference-ExampleSourceDocument.json,DocumentReference/ExampleSourceDocument
Encounter,ExampleEncounter,ExampleEncounter,,,finished,examples,Encounter-ExampleEncounter.json,Encounter/ExampleEncounter
Location,ExampleLocation,Cardiology Clinic 1,,,active,examples,Location-ExampleLocation.json,Location/ExampleLocation
Observation,ExampleHbA1cObservation,ExampleHbA1cObservation,,,final,examples,Observation-ExampleHbA1cObservation.json,Observation/ExampleHbA1cObservation
Observation,ExampleQualityCSC,ExampleQualityCSC,,,final,examples,Observation-ExampleQualityCSC.json,Observation/ExampleQualityCSC
Observation,ExampleQualityFFR,ExampleQualityFFR,,,final,examples,Observation-ExampleQualityFFR.json,Observation/ExampleQualityFFR
Observation,ExampleQualityMSR,ExampleQualityMSR,,,final,examples,Observation-ExampleQualityMSR.json,Observation/ExampleQualityMSR
Observation,ExampleQualityRIR,ExampleQualityRIR,,,final,examples,Observation-ExampleQualityRIR.json,Observation/ExampleQualityRIR
Observation,ExampleQualityTC,ExampleQualityTC,,,final,examples,Observation-ExampleQualityTC.json,Observation/ExampleQualityTC
Observation,ExampleQualityTCR,ExampleQualityTCR,,,final,examples,Observation-ExampleQualityTCR.json,Observation/ExampleQualityTCR
Organization,ExampleHospital,Example Regional Medical Center,,,,examples,Organization-ExampleHospital.json,Organization/ExampleHospital
Patient,ExamplePatient,ExamplePatient,,,,examples,Patient-ExamplePatient.json,Patient/ExamplePatient
Practitioner,ExampleReviewer,ExampleReviewer,,,,examples,Practitioner-ExampleReviewer.json,Practitioner/ExampleReviewer
Provenance,ExampleMappingProvenance,ExampleMappingProvenance,,,,examples,Provenance-ExampleMappingProvenance.json,Provenance/ExampleMappingProvenance
Specimen,ExampleSpecimen,ExampleSpecimen,,,available,examples,Specimen-ExampleSpecimen.json,Specimen/ExampleSpecimen
StructureDefinition,hitc-mapping-confidence,HITC Mapping Confidence,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-mapping-confidence,,draft,extensions,StructureDefinition-hitc-mapping-confidence.json,StructureDefinition/hitc-mapping-confidence
StructureDefinition,hitc-mapping-reviewer,HITC Mapping Reviewer,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-mapping-reviewer,,draft,extensions,StructureDefinition-hitc-mapping-reviewer.json,StructureDefinition/hitc-mapping-reviewer
StructureDefinition,hitc-mapping-strategy,HITC Mapping Strategy,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-mapping-strategy,,draft,extensions,StructureDefinition-hitc-mapping-strategy.json,StructureDefinition/hitc-mapping-strategy
StructureDefinition,hitc-merkle-root,HITC Merkle Root,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-merkle-root,,draft,extensions,StructureDefinition-hitc-merkle-root.json,StructureDefinition/hitc-merkle-root
StructureDefinition,hitc-original-code,HITC Original Source Code,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-original-code,,draft,extensions,StructureDefinition-hitc-original-code.json,StructureDefinition/hitc-original-code
StructureDefinition,hitc-quality-denominator,HITC Quality Metric Denominator,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-quality-denominator,,draft,extensions,StructureDefinition-hitc-quality-denominator.json,StructureDefinition/hitc-quality-denominator
StructureDefinition,hitc-quality-numerator,HITC Quality Metric Numerator,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-quality-numerator,,draft,extensions,StructureDefinition-hitc-quality-numerator.json,StructureDefinition/hitc-quality-numerator
StructureDefinition,hitc-source-format,HITC Source Format,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-source-format,,draft,extensions,StructureDefinition-hitc-source-format.json,StructureDefinition/hitc-source-format
StructureDefinition,hitc-source-system,HITC Source System,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-source-system,,draft,extensions,StructureDefinition-hitc-source-system.json,StructureDefinition/hitc-source-system
StructureDefinition,hitc-transformation-step,HITC Transformation Step,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-transformation-step,,draft,extensions,StructureDefinition-hitc-transformation-step.json,StructureDefinition/hitc-transformation-step
StructureDefinition,hitc-validation-stage,HITC Validation Stage,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-validation-stage,,draft,extensions,StructureDefinition-hitc-validation-stage.json,StructureDefinition/hitc-validation-stage
