id,title,type,url,baseDefinition,requiredDifferentialElements,invariants,snapshotElementCount
hitc-canonical-allergy-intolerance,HITC Canonical Allergy Intolerance,AllergyIntolerance,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-allergy-intolerance,http://hl7.org/fhir/StructureDefinition/AllergyIntolerance,AllergyIntolerance.meta.profile 1..*; AllergyIntolerance.extension 1..*; AllergyIntolerance.extension 1..1; AllergyIntolerance.identifier 1..*; AllergyIntolerance.clinicalStatus 1..*; AllergyIntolerance.verificationStatus 1..*; AllergyIntolerance.type 1..*; AllergyIntolerance.category 1..*; AllergyIntolerance.criticality 1..*; AllergyIntolerance.code 1..*; AllergyIntolerance.recordedDate 1..*,,44
hitc-canonical-audit-event,HITC Canonical Audit Event,AuditEvent,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-audit-event,http://hl7.org/fhir/StructureDefinition/AuditEvent,AuditEvent.meta.profile 1..*; AuditEvent.extension 1..*; AuditEvent.extension 1..1; AuditEvent.subtype 1..*; AuditEvent.action 1..*; AuditEvent.outcome 1..*; AuditEvent.entity 1..*,,71
hitc-canonical-care-plan,HITC Canonical Care Plan,CarePlan,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-care-plan,http://hl7.org/fhir/StructureDefinition/CarePlan,CarePlan.meta.profile 1..*; CarePlan.extension 1..*; CarePlan.extension 1..1; CarePlan.identifier 1..*; CarePlan.category 1..*; CarePlan.title 1..*; CarePlan.period 1..*; CarePlan.careTeam 1..*; CarePlan.goal 1..*; CarePlan.activity 1..*,,69
hitc-canonical-care-team,HITC Canonical Care Team,CareTeam,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-care-team,http://hl7.org/fhir/StructureDefinition/CareTeam,CareTeam.meta.profile 1..*; CareTeam.extension 1..*; CareTeam.extension 1..1; CareTeam.identifier 1..*; CareTeam.status 1..*; CareTeam.category 1..*; CareTeam.subject 1..*; CareTeam.period 1..*; CareTeam.participant 1..*,,38
hitc-canonical-composition,HITC Canonical Composition,Composition,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-composition,http://hl7.org/fhir/StructureDefinition/Composition,Composition.meta.profile 1..*; Composition.extension 1..*; Composition.extension 1..1; Composition.identifier 1..*; Composition.subject 1..*; Composition.encounter 1..*; Composition.section 1..*,,63
hitc-canonical-condition,HITC Canonical Condition,Condition,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-condition,http://hl7.org/fhir/StructureDefinition/Condition,Condition.meta.profile 1..*; Condition.extension 1..*; Condition.extension 1..1; Condition.identifier 1..*; Condition.clinicalStatus 1..*; Condition.verificationStatus 1..*; Condition.category 1..*; Condition.code 1..*; Condition.onset[x] 1..*; Condition.recordedDate 1..*; Condition.recorder 1..*,,46
hitc-canonical-consent,HITC Canonical Consent,Consent,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-consent,http://hl7.org/fhir/StructureDefinition/Consent,Consent.meta.profile 1..*; Consent.extension 1..*; Consent.extension 1..1; Consent.identifier 1..*; Consent.patient 1..*; Consent.dateTime 1..*; Consent.performer 1..*; Consent.organization 1..*; Consent.policyRule 1..*; Consent.provision 1..*,,66
hitc-canonical-coverage,HITC Canonical Coverage,Coverage,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-coverage,http://hl7.org/fhir/StructureDefinition/Coverage,Coverage.meta.profile 1..*; Coverage.extension 1..*; Coverage.extension 1..1; Coverage.identifier 1..*; Coverage.type 1..*; Coverage.period 1..*,,52
hitc-canonical-device-use-statement,HITC Canonical Device Use Statement,DeviceUseStatement,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-device-use-statement,http://hl7.org/fhir/StructureDefinition/DeviceUseStatement,DeviceUseStatement.meta.profile 1..*; DeviceUseStatement.extension 1..*; DeviceUseStatement.extension 1..1; DeviceUseStatement.identifier 1..*; DeviceUseStatement.timing[x] 1..*; DeviceUseStatement.recordedOn 1..*,,31
hitc-canonical-device,HITC Canonical Device,Device,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-device,http://hl7.org/fhir/StructureDefinition/Device,Device.meta.profile 1..*; Device.extension 1..*; Device.extension 1..1; Device.identifier 1..*; Device.status 1..*; Device.manufacturer 1..*; Device.deviceName 1..*; Device.type 1..*,,75
hitc-canonical-diagnostic-report,HITC Canonical Diagnostic Report,DiagnosticReport,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-diagnostic-report,http://hl7.org/fhir/StructureDefinition/DiagnosticReport,DiagnosticReport.meta.profile 1..*; DiagnosticReport.extension 1..*; DiagnosticReport.extension 1..1; DiagnosticReport.identifier 1..*; DiagnosticReport.category 1..*; DiagnosticReport.subject 1..*; DiagnosticReport.effective[x] 1..*; DiagnosticReport.issued 1..*; DiagnosticReport.performer 1..*; DiagnosticReport.result 1..*,,41
hitc-canonical-document-reference,HITC Canonical Document Reference,DocumentReference,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-document-reference,http://hl7.org/fhir/StructureDefinition/DocumentReference,DocumentReference.meta.profile 1..*; DocumentReference.extension 1..*; DocumentReference.extension 1..1; DocumentReference.identifier 1..*; DocumentReference.type 1..*; DocumentReference.category 1..*; DocumentReference.subject 1..*; DocumentReference.date 1..*; DocumentReference.author 1..*; DocumentReference.custodian 1..*; DocumentReference.content.attachment.contentType 1..*,hitc-document-content-location,64
hitc-canonical-encounter,HITC Canonical Encounter,Encounter,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-encounter,http://hl7.org/fhir/StructureDefinition/Encounter,Encounter.meta.profile 1..*; Encounter.extension 1..*; Encounter.extension 1..1; Encounter.identifier 1..*; Encounter.type 1..*; Encounter.subject 1..*; Encounter.period 1..*; Encounter.location 1..*; Encounter.serviceProvider 1..*,,82
hitc-canonical-episode-of-care,HITC Canonical Episode of Care,EpisodeOfCare,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-episode-of-care,http://hl7.org/fhir/StructureDefinition/EpisodeOfCare,EpisodeOfCare.meta.profile 1..*; EpisodeOfCare.extension 1..*; EpisodeOfCare.extension 1..1; EpisodeOfCare.identifier 1..*; EpisodeOfCare.type 1..*; EpisodeOfCare.managingOrganization 1..*; EpisodeOfCare.period 1..*,,41
hitc-canonical-goal,HITC Canonical Goal,Goal,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-goal,http://hl7.org/fhir/StructureDefinition/Goal,Goal.meta.profile 1..*; Goal.extension 1..*; Goal.extension 1..1; Goal.identifier 1..*; Goal.achievementStatus 1..*; Goal.category 1..*; Goal.start[x] 1..*; Goal.target 1..*,,40
hitc-canonical-immunization,HITC Canonical Immunization,Immunization,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-immunization,http://hl7.org/fhir/StructureDefinition/Immunization,Immunization.meta.profile 1..*; Immunization.extension 1..*; Immunization.extension 1..1; Immunization.identifier 1..*; Immunization.primarySource 1..*,,72
hitc-canonical-location,HITC Canonical Location,Location,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-location,http://hl7.org/fhir/StructureDefinition/Location,Location.meta.profile 1..*; Location.extension 1..*; Location.extension 1..1; Location.identifier 1..*; Location.status 1..*; Location.name 1..*; Location.managingOrganization 1..*,,48
hitc-canonical-medication-administration,HITC Canonical Medication Administration,MedicationAdministration,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-medication-administration,http://hl7.org/fhir/StructureDefinition/MedicationAdministration,MedicationAdministration.meta.profile 1..*; MedicationAdministration.extension 1..*; MedicationAdministration.extension 1..1; MedicationAdministration.identifier 1..*; MedicationAdministration.performer 1..*,,51
hitc-canonical-medication-request,HITC Canonical Medication Request,MedicationRequest,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-medication-request,http://hl7.org/fhir/StructureDefinition/MedicationRequest,MedicationRequest.meta.profile 1..*; MedicationRequest.extension 1..*; MedicationRequest.extension 1..1; MedicationRequest.identifier 1..*; MedicationRequest.authoredOn 1..*; MedicationRequest.requester 1..*; MedicationRequest.dosageInstruction 1..*,,70
hitc-canonical-medication-statement,HITC Canonical Medication Statement,MedicationStatement,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-medication-statement,http://hl7.org/fhir/StructureDefinition/MedicationStatement,MedicationStatement.meta.profile 1..*; MedicationStatement.extension 1..*; MedicationStatement.extension 1..1; MedicationStatement.identifier 1..*; MedicationStatement.effective[x] 1..*; MedicationStatement.dateAsserted 1..*; MedicationStatement.informationSource 1..*,,35
hitc-canonical-medication,HITC Canonical Medication,Medication,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-medication,http://hl7.org/fhir/StructureDefinition/Medication,Medication.meta.profile 1..*; Medication.extension 1..*; Medication.extension 1..1; Medication.identifier 1..*; Medication.code 1..*; Medication.status 1..*; Medication.form 1..*,,37
hitc-canonical-observation,HITC Canonical Observation,Observation,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-observation,http://hl7.org/fhir/StructureDefinition/Observation,Observation.meta.profile 1..*; Observation.extension 1..*; Observation.extension 1..1; Observation.identifier 1..*; Observation.category 1..*; Observation.subject 1..*; Observation.effective[x] 1..*; Observation.performer 1..*,hitc-obs-value-or-component,59
hitc-canonical-organization,HITC Canonical Organization,Organization,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-organization,http://hl7.org/fhir/StructureDefinition/Organization,Organization.meta.profile 1..*; Organization.extension 1..*; Organization.extension 1..1; Organization.identifier 1..*; Organization.active 1..*; Organization.type 1..*; Organization.name 1..*,,35
hitc-canonical-patient,HITC Canonical Patient,Patient,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-patient,http://hl7.org/fhir/StructureDefinition/Patient,Patient.meta.profile 1..*; Patient.extension 1..*; Patient.extension 1..1; Patient.identifier 1..*; Patient.identifier.system 1..*; Patient.identifier.value 1..*; Patient.name 1..*; Patient.name.family 1..*; Patient.name.given 1..*; Patient.gender 1..*; Patient.birthDate 1..*; Patient.managingOrganization 1..*,,71
hitc-canonical-practitioner-role,HITC Canonical Practitioner Role,PractitionerRole,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-practitioner-role,http://hl7.org/fhir/StructureDefinition/PractitionerRole,PractitionerRole.meta.profile 1..*; PractitionerRole.extension 1..*; PractitionerRole.extension 1..1; PractitionerRole.identifier 1..*; PractitionerRole.active 1..*; PractitionerRole.practitioner 1..*; PractitionerRole.organization 1..*; PractitionerRole.code 1..*,,44
hitc-canonical-practitioner,HITC Canonical Practitioner,Practitioner,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-practitioner,http://hl7.org/fhir/StructureDefinition/Practitioner,Practitioner.meta.profile 1..*; Practitioner.extension 1..*; Practitioner.extension 1..1; Practitioner.identifier 1..*; Practitioner.name 1..*; Practitioner.qualification 1..*,,35
hitc-canonical-procedure,HITC Canonical Procedure,Procedure,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-procedure,http://hl7.org/fhir/StructureDefinition/Procedure,Procedure.meta.profile 1..*; Procedure.extension 1..*; Procedure.extension 1..1; Procedure.identifier 1..*; Procedure.code 1..*; Procedure.performed[x] 1..*; Procedure.performer 1..*,,57
hitc-canonical-provenance,HITC Canonical Provenance,Provenance,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-provenance,http://hl7.org/fhir/StructureDefinition/Provenance,Provenance.meta.profile 1..*; Provenance.extension 4..*; Provenance.extension 1..1; Provenance.extension 1..1; Provenance.extension 1..*; Provenance.extension 1..1; Provenance.occurred[x] 1..*; Provenance.reason 1..*; Provenance.activity 1..*; Provenance.entity 1..*,,48
hitc-canonical-questionnaire-response,HITC Canonical Questionnaire Response,QuestionnaireResponse,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-questionnaire-response,http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse,QuestionnaireResponse.meta.profile 1..*; QuestionnaireResponse.extension 1..*; QuestionnaireResponse.extension 1..1; QuestionnaireResponse.identifier 1..*; QuestionnaireResponse.questionnaire 1..*; QuestionnaireResponse.subject 1..*; QuestionnaireResponse.authored 1..*; QuestionnaireResponse.author 1..*; QuestionnaireResponse.item 1..*,,42
hitc-canonical-related-person,HITC Canonical Related Person,RelatedPerson,https://example.org/fhir/li-xinyang-interop-r4/StructureDefinition/hitc-canonical-related-person,http://hl7.org/fhir/StructureDefinition/RelatedPerson,RelatedPerson.meta.profile 1..*; RelatedPerson.extension 1..*; RelatedPerson.extension 1..1; RelatedPerson.identifier 1..*; RelatedPerson.active 1..*; RelatedPerson.relationship 1..*; RelatedPerson.name 1..*,,35
